,id,title,journal,year,authors,kind,extra,auth
306,306,Unsupervised Online Feature Selection for Cost-Sensitive Medical Diagnosis,"NetHealth, COMSNETS",2020,"Verma, Arun and Manjesh Kumar Hanawal and Nandyala Hemachandra",proceedings,"@proceedings {2263,
	title = {Unsupervised Online Feature Selection for Cost-Sensitive Medical Diagnosis},
	journal = {NetHealth, COMSNETS},
	year = {2020},
	author = {Verma, Arun and Manjesh Kumar Hanawal and Nandyala Hemachandra}
}","['Verma, Arun', 'Manjesh Kumar Hanawal', 'Nandyala Hemachandra']"
307,307,Acquisition  Games with Partial-Asymmetric Information,Allerton,2019,Veeraruna Kavitha and Mayank Maheshwari and Eitan Altman,proceedings,"@proceedings {2028,
	title = {Acquisition  Games with Partial-Asymmetric Information},
	journal = {Allerton},
	year = {2019},
	author = {Veeraruna Kavitha and Mayank Maheshwari and Eitan Altman}
}","['Veeraruna Kavitha', 'Mayank Maheshwari', 'Eitan Altman']"
308,308,Censored Semi-Bandits: A Framework for ResourceAllocation with Censored Feedback,Neural Information Processing Systems (NeurIPS),2019,"Verma, Arun and Manjesh Kumar Hanawal and Arun Rajkumar and Raman Sankaran",proceedings,"@proceedings {2100,
	title = {Censored Semi-Bandits: A Framework for ResourceAllocation with Censored Feedback},
	journal = {Neural Information Processing Systems (NeurIPS)},
	year = {2019},
	author = {Verma, Arun and Manjesh Kumar Hanawal and Arun Rajkumar and Raman Sankaran}
}","['Verma, Arun', 'Manjesh Kumar Hanawal', 'Arun Rajkumar', 'Raman Sankaran']"
309,309,Classifying Diabetic Retinopathy Images Using Induced Deep Region of Interest Extraction,"2019 12th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)",2019,A. Kushwaha and P. Balamurugan,proceedings,"@proceedings {2387,
	title = {Classifying Diabetic Retinopathy Images Using Induced Deep Region of Interest Extraction},
	journal = {2019 12th International Congress on Image and Signal Processing, BioMedical Engineering and Informatics (CISP-BMEI)},
	year = {2019},
	doi = {10.1109/CISP-BMEI48845.2019.8965695},
	author = {A. Kushwaha and P. Balamurugan}
}","['A. Kushwaha', 'P. Balamurugan']"
310,310,Continuous-Time Markov Decision Processes with Controlled Observations,Allerton ,2019,Yunhan Huang and Veeraruna Kavitha and Quanyan Zhu,proceedings,"@proceedings {2026,
	title = {Continuous-Time Markov Decision Processes with Controlled Observations},
	journal = {Allerton },
	year = {2019},
	author = {Yunhan Huang and Veeraruna Kavitha and Quanyan Zhu}
}","['Yunhan Huang', 'Veeraruna Kavitha', 'Quanyan Zhu']"
311,311,Cost Sensitive Learning in the Presence of Symmetric Label Noise,Pacific Asia Knowledge Discovery and Data Mining,2019,Sandhya Tripathi and Nandyala Hemachandra,proceedings,"@proceedings {1960,
	title = {Cost Sensitive Learning in the Presence of Symmetric Label Noise},
	journal = {Pacific Asia Knowledge Discovery and Data Mining},
	year = {2019},
	publisher = {Springer International Publishing},
	address = {Macau, China},
	isbn = {978-3-030-16148-4},
	doi = {10.1007/978-3-030-16148-4_2},
	author = {Sandhya Tripathi and Nandyala Hemachandra}
}","['Sandhya Tripathi', 'Nandyala Hemachandra']"
312,312,Decision Making Simulator for Supply Allocation Under Uncertainty,IEEE International Conference on Industrial Engineering and Engineering Management,2019,Vanessa Beddode and Sayli Shiradkar and Jayendran Venkateswaran,proceedings,"@proceedings {2376,
	title = {Decision Making Simulator for Supply Allocation Under Uncertainty},
	journal = {IEEE International Conference on Industrial Engineering and Engineering Management},
	year = {2019},
	month = {12/2019},
	pages = {850-854},
	address = {Macau},
	doi = {10.1109/IEEM44572.2019.8978494},
	author = {Vanessa Beddode and Sayli Shiradkar and Jayendran Venkateswaran}
}","['Vanessa Beddode', 'Sayli Shiradkar', 'Jayendran Venkateswaran']"
313,313,Distributed Accelerated Inexact Proximal Gradient Method via System of Coupled Ordinary Differential Equations,NeurIPS workshop on Beyond First Order Methods for ML,2019,"Chhavi Sharma and Vishnu Narayanan and Balamurugan, P.",proceedings,"@proceedings {2435,
	title = {Distributed Accelerated Inexact Proximal Gradient Method via System of Coupled Ordinary Differential Equations},
	journal = {NeurIPS workshop on Beyond First Order Methods for ML},
	year = {2019},
	author = {Chhavi Sharma and Vishnu Narayanan and Balamurugan, P.}
}","['Chhavi Sharma', 'Vishnu Narayanan', 'Balamurugan, P.']"
314,314,Distributed Algorithms for Efficient Learning and Coordination in Ad Hoc Networks,"17th International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks (WiOpt)",2019,"Verma, Arun and Manjesh Kumar Hanawal and Vaze, Rahul",proceedings,"@proceedings {2306,
	title = {Distributed Algorithms for Efficient Learning and Coordination in Ad Hoc Networks},
	journal = {17th International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks (WiOpt)},
	year = {2019},
	author = {Verma, Arun and Manjesh Kumar Hanawal and Vaze, Rahul}
}","['Verma, Arun', 'Manjesh Kumar Hanawal', 'Vaze, Rahul']"
315,315,"Dynamic scheduling in a partially fluid, partially lossy queueing system", WiOpt,2019,Kiran Chaudhary and Veeraruna Kavitha and Jayakrishnan Nair,proceedings,"@proceedings {2025,
	title = {Dynamic scheduling in a partially fluid, partially lossy queueing system},
	journal = { WiOpt},
	year = {2019},
	author = {Kiran Chaudhary and Veeraruna Kavitha and Jayakrishnan Nair}
}","['Kiran Chaudhary', 'Veeraruna Kavitha', 'Jayakrishnan Nair']"
316,316,Epidemic Enhanced Cellular Networks,SPASWIN workshop held in conjunction with WiOpt ,2019,Veeraruna Kavitha and Eitan Altman and Sreenath Ramanath,proceedings,"@proceedings {2023,
	title = {Epidemic Enhanced Cellular Networks},
	journal = {SPASWIN workshop held in conjunction with WiOpt },
	year = {2019},
	author = {Veeraruna Kavitha and Eitan Altman and Sreenath Ramanath}
}","['Veeraruna Kavitha', 'Eitan Altman', 'Sreenath Ramanath']"
317,317,Field Experience of Deployment and Adoption of PV based DC Induction Cookstoves in Rural India,IEEE 46th Photovoltaic Specialists Conference (PVSC,2019,Sayli Shiradkar and Satish Telagamsetti and Narendra Shiradkar and Jayendran Venkateswaran and Chetan S. Solanki,proceedings,"@proceedings {2379,
	title = {Field Experience of Deployment and Adoption of PV based DC Induction Cookstoves in Rural India},
	journal = {IEEE 46th Photovoltaic Specialists Conference (PVSC},
	year = {2019},
	month = {06/2019},
	pages = {1684-1689},
	address = {Chicago},
	doi = {10.1109/PVSC40753.2019.8980676},
	author = {Sayli Shiradkar and Satish Telagamsetti and Narendra Shiradkar and Jayendran Venkateswaran and Chetan S. Solanki}
}","['Sayli Shiradkar', 'Satish Telagamsetti', 'Narendra Shiradkar', 'Jayendran Venkateswaran', 'Chetan S. Solanki']"
318,318,Online Algorithm for Unsupervised Sensor Selection,Artificial Intelligence and Statistics,2019,"Verma, Arun and Manjesh Kumar Hanawal and Szepesvari, Csaba and Saligrama, Venkatesh",proceedings,"@proceedings {2301,
	title = {Online Algorithm for Unsupervised Sensor Selection},
	journal = {Artificial Intelligence and Statistics},
	year = {2019},
	author = {Verma, Arun and Manjesh Kumar Hanawal and Szepesvari, Csaba and Saligrama, Venkatesh}
}","['Verma, Arun', 'Manjesh Kumar Hanawal', 'Szepesvari, Csaba', 'Saligrama, Venkatesh']"
319,319,A proof of the conjecture in Pricing surplus server capacity for mean waiting time sensitive customers,12th EAI International Conference on Performance Evaluation Methodologies and Tools (VALUETOOLS 2019),2019,Manu Kumar Gupta and Nandyala Hemachandra,proceedings,"@proceedings {1976,
	title = {A proof of the conjecture in Pricing surplus server capacity for mean waiting time sensitive customers},
	journal = {12th EAI International Conference on Performance Evaluation Methodologies and Tools (VALUETOOLS 2019)},
	year = {2019},
	pages = {155-158},
	publisher = {ACM Digital Library},
	address = {Palma, Spain},
	issn = {978-1-4503-6596-3 },
	doi = {10.1145/3306309.3306332},
	url = {https://doi.org/10.1145/3306309.3306332},
	author = {Manu Kumar Gupta and Nandyala Hemachandra}
}","['Manu Kumar Gupta', 'Nandyala Hemachandra']"
320,320,Rolling Horizon Models for Inter-Depot Empty Container Repositioning,2019 Winter Simulation Conference (WSC),2019,Tejas Ghorpade and Narayan Rangaraj,proceedings,"@proceedings {2319,
	title = {Rolling Horizon Models for Inter-Depot Empty Container Repositioning},
	journal = {2019 Winter Simulation Conference (WSC)},
	year = {2019},
	doi = {10.1109/WSC40007.2019.9004884},
	author = {Tejas Ghorpade and Narayan Rangaraj}
}","['Tejas Ghorpade', 'Narayan Rangaraj']"
321,321,A simple and fast distributed accelerated gradient method,Optimization for Machine Learning (OPT-ML) Workshop,2019,"Chhavi Sharma and Vishnu Narayanan and Balamurugan, P.",proceedings,"@proceedings {2434,
	title = {A simple and fast distributed accelerated gradient method},
	journal = {Optimization for Machine Learning (OPT-ML) Workshop},
	year = {2019},
	author = {Chhavi Sharma and Vishnu Narayanan and Balamurugan, P.}
}","['Chhavi Sharma', 'Vishnu Narayanan', 'Balamurugan, P.']"
322,322,Ultimately Stationary Policies to Approximate Risk-Sensitive Discounted MDPs,Valuetools,2019,Uday M Kumar and Sanjay P Bhat and Veeraruna Kavitha and Nandyala Hemachandra,proceedings,"@proceedings {2024,
	title = {Ultimately Stationary Policies to Approximate Risk-Sensitive Discounted MDPs},
	journal = {Valuetools},
	year = {2019},
	author = {Uday M Kumar and Sanjay P Bhat and Veeraruna Kavitha and Nandyala Hemachandra}
}","['Uday M Kumar', 'Sanjay P Bhat', 'Veeraruna Kavitha', 'Nandyala Hemachandra']"
323,323,Barriers and enablers impacting durability of solar street lighting systems in rural India,Sustainability and Development Conference,2018,Aritra Chakrabarty and Rohit Sharma and Praveen Kumar and Jayendran Venkateswaran and Chetan S. Solanki,proceedings,"@proceedings {1925,
	title = {Barriers and enablers impacting durability of solar street lighting systems in rural India},
	journal = {Sustainability and Development Conference},
	year = {2018},
	month = {11/2018},
	address = {Ann Arbor, Michigan, USA},
	author = {Aritra Chakrabarty and Rohit Sharma and Praveen Kumar and Jayendran Venkateswaran and Chetan S. Solanki}
}","['Aritra Chakrabarty', 'Rohit Sharma', 'Praveen Kumar', 'Jayendran Venkateswaran', 'Chetan S. Solanki']"
324,324,Bringing Solar PV Technologies for Reliable Off-grid Power in Rural India,World Conference on Photovoltaic Energy Conversion (WCPEC-7) IEEE,2018,Rohit Sharma and Deepak Choudhary and Amruta Joshi and Jayendran Venkateswaran and Chetan S. Solanki,proceedings,"@proceedings {1917,
	title = {Bringing Solar PV Technologies for Reliable Off-grid Power in Rural India},
	journal = {World Conference on Photovoltaic Energy Conversion (WCPEC-7) IEEE},
	year = {2018},
	address = {Waikola, Hawaii},
	doi = {10.1109/PVSC.2018.8547648},
	author = {Rohit Sharma and Deepak Choudhary and Amruta Joshi and Jayendran Venkateswaran and Chetan S. Solanki}
}","['Rohit Sharma', 'Deepak Choudhary', 'Amruta Joshi', 'Jayendran Venkateswaran', 'Chetan S. Solanki']"
325,325,Bus schedule for optimal bus bunching and waiting times,In ITS WorkShop held along with International Conference on Communication Systems \& Networks (COMSNETS),2018,M Venkateswararao Koppisetti and Veeraruna Kavitha and Urtzi Ayesta,proceedings,"@proceedings {2032,
	title = {Bus schedule for optimal bus bunching and waiting times},
	journal = {In ITS WorkShop held along with International Conference on Communication Systems \& Networks (COMSNETS)},
	year = {2018},
	pages = {. 607-612. IEEE},
	author = {M Venkateswararao Koppisetti and Veeraruna Kavitha and Urtzi Ayesta}
}","['M Venkateswararao Koppisetti', 'Veeraruna Kavitha', 'Urtzi Ayesta']"
327,327,An empirical study on quality control practices in a supply chain network,51st Annual Convention and International Conference of ORSI,2018,Alisha Arora and Jayendran Venkateswaran,proceedings,"@proceedings {1928,
	title = {An empirical study on quality control practices in a supply chain network},
	journal = {51st Annual Convention and International Conference of ORSI},
	year = {2018},
	month = {12/2018},
	address = {IIT Bombay, Mumbai, India},
	author = {Alisha Arora and Jayendran Venkateswaran}
}","['Alisha Arora', 'Jayendran Venkateswaran']"
328,328,Modeling Label Interactions in Multi-label Classification: A Multi-structure SVM Perspective.,Pacific-Asia Conference on Knowledge Discovery and Data Mining (PAKDD),2018,Anusha Kasinikota and P. Balamurugan and Shirish Shevade,proceedings,"@proceedings {2057,
	title = {Modeling Label Interactions in Multi-label Classification: A Multi-structure SVM Perspective.},
	journal = {Pacific-Asia Conference on Knowledge Discovery and Data Mining (PAKDD)},
	volume = {10937},
	year = {2018},
	month = {06/2018},
	author = {Anusha Kasinikota and P. Balamurugan and Shirish Shevade}
}","['Anusha Kasinikota', 'P. Balamurugan', 'Shirish Shevade']"
329,329,Operationalizing Localization: A Case study of solar PV based technology Intervention in Rural India,51st Annual Convention and International Conference of ORSI,2018,Jigar Panot and Deepak Choudhary and Sayli Bhide and Jayendran Venkateswaran and Chetan S. Solanki,proceedings,"@proceedings {1927,
	title = {Operationalizing Localization: A Case study of solar PV based technology Intervention in Rural India},
	journal = {51st Annual Convention and International Conference of ORSI},
	year = {2018},
	month = {12/2018},
	address = {IIT Bombay, Mumbai, India},
	author = {Jigar Panot and Deepak Choudhary and Sayli Bhide and Jayendran Venkateswaran and Chetan S. Solanki}
}","['Jigar Panot', 'Deepak Choudhary', 'Sayli Bhide', 'Jayendran Venkateswaran', 'Chetan S. Solanki']"
330,330,"Random Fixed Points, Limits and Systemic risk",CDC,2018,Veeraruna Kavitha and Indrajit Saha and Sandeep Juneja,proceedings,"@proceedings {2029,
	title = {Random Fixed Points, Limits and Systemic risk},
	journal = {CDC},
	year = {2018},
	author = {Veeraruna Kavitha and Indrajit Saha and Sandeep Juneja}
}","['Veeraruna Kavitha', 'Indrajit Saha', 'Sandeep Juneja']"
331,331,Scalable linear classifiers based on exponential loss function,Proceedings of the ACM India Joint International Conference on Data Science and Management of Data,2018,Sandhya Tripathi and Nandyala Hemachandra,proceedings,"@proceedings {1872,
	title = {Scalable linear classifiers based on exponential loss function},
	journal = {Proceedings of the ACM India Joint International Conference on Data Science and Management of Data},
	year = {2018},
	publisher = {ACM},
	author = {Sandhya Tripathi and Nandyala Hemachandra}
}","['Sandhya Tripathi', 'Nandyala Hemachandra']"
332,332,Solar Study Lamps target to brighten 1 Million Lives: Experimental evidence from Pilot project in India,World Conference on Photovoltaic Energy Conversion (WCPEC-7) IEEE,2018,Rohit Sharma and Deepak Choudhary and Nikita Arora and Jayendran Venkateswaran and Chetan S. Solanki,proceedings,"@proceedings {1916,
	title = {Solar Study Lamps target to brighten 1 Million Lives: Experimental evidence from Pilot project in India},
	journal = {World Conference on Photovoltaic Energy Conversion (WCPEC-7) IEEE},
	year = {2018},
	address = {Waikola, Hawaii},
	doi = {10.1109/PVSC.2018.8547474},
	author = {Rohit Sharma and Deepak Choudhary and Nikita Arora and Jayendran Venkateswaran and Chetan S. Solanki}
}","['Rohit Sharma', 'Deepak Choudhary', 'Nikita Arora', 'Jayendran Venkateswaran', 'Chetan S. Solanki']"
333,333,Some new PAC-Bayesian bounds and their use in selection of regularization parameter for linear SVMs,Proceedings of the ACM India Joint International Conference on Data Science and Management of Data,2018,"Sahu, Puja and Nandyala Hemachandra",proceedings,"@proceedings {1873,
	title = {Some new PAC-Bayesian bounds and their use in selection of regularization parameter for linear SVMs},
	journal = {Proceedings of the ACM India Joint International Conference on Data Science and Management of Data},
	year = {2018},
	publisher = {ACM},
	author = {Sahu, Puja and Nandyala Hemachandra}
}","['Sahu, Puja', 'Nandyala Hemachandra']"
334,334,To Participate or Not in a Coalition in Adversarial Games,"Interational Conference, NETwork Games, COntrol and OPtimization (NETGCoop)",2018,"Ranbir Dhounchak and Veeraruna Kavitha and Hayel, Yezekael",proceedings,"@proceedings {2030,
	title = {To Participate or Not in a Coalition in Adversarial Games},
	journal = {Interational Conference, NETwork Games, COntrol and OPtimization (NETGCoop)},
	year = {2018},
	author = {Ranbir Dhounchak and Veeraruna Kavitha and Hayel, Yezekael}
}","['Ranbir Dhounchak', 'Veeraruna Kavitha', 'Hayel, Yezekael']"
335,335,Unsupervised cost sensitive predictions with side information,Proceedings of the ACM India Joint International Conference on Data Science and Management of Data. ACM,2018,"Verma, Arun and Manjesh Kumar Hanawal",proceedings,"@proceedings {2299,
	title = {Unsupervised cost sensitive predictions with side information},
	journal = {Proceedings of the ACM India Joint International Conference on Data Science and Management of Data. ACM},
	year = {2018},
	author = {Verma, Arun and Manjesh Kumar Hanawal}
}","['Verma, Arun', 'Manjesh Kumar Hanawal']"
336,336,User response based recommendations: A local angle approach,10th International Conference on Communication Systems \& Networks (COMSNETS),2018,Veeraruna Kavitha and Salman Memon and Manjesh Kumar Hanawal and Eitan Altman and R. Devanand,proceedings,"@proceedings {2031,
	title = {User response based recommendations: A local angle approach},
	journal = {10th International Conference on Communication Systems \& Networks (COMSNETS)},
	year = {2018},
	pages = { 73-80. IEEE},
	author = {Veeraruna Kavitha and Salman Memon and Manjesh Kumar Hanawal and Eitan Altman and R. Devanand}
}","['Veeraruna Kavitha', 'Salman Memon', 'Manjesh Kumar Hanawal', 'Eitan Altman', 'R. Devanand']"
